label,sublabel,description,styles,bgcolor
燃やすごみ,,*電話してね★,,#FD7400
ペットボトル,,,,#FFE11A
びん,,,,#BEDB39
カン,,,,#1F8A70
プラ容器包装,,,,#004358
粗大ゴミ,,,,#421458
不燃ごみ,,,,#58062A
古紙,,,,#806BFD
